id;nome;descricao;email;celular;ativo;contato_alerta_telefonico;prioridade;hora_ligacao_inicial;hora_ligacao_final;created;updated
1;out-of-the-box supply-chains;withdrawal capacitor metrics;Destiney16@yahoo.com;Metal;false;true;98395;;;2020-07-07T12:16:44;2020-07-07T04:22:19
2;Functionality Dynamic wireless;Automotive focus group;Andrew.Adams98@gmail.com;users Administrator ;false;true;5718;;;2020-07-07T04:29:35;2020-07-07T07:34:53
3;District;Outdoors withdrawal;Billy.Erdman46@hotmail.com;reinvent;false;false;61724;;;2020-07-07T05:13:13;2020-07-07T10:24:02
4;transparent relationships Future;Hryvnia Cheese Money Market Account;Jeanne_Roob@hotmail.com;redefine Rustic;false;true;69159;;;2020-07-07T16:39:31;2020-07-07T01:38:43
5;Borders 24/7;deploy Computers;Shanny_Rutherford@hotmail.com;Pakistan;false;false;91797;;;2020-07-07T06:10:31;2020-07-07T22:41:38
6;withdrawal Dynamic global;USB Panama bluetooth;Austin.Emmerich@yahoo.com;transition panel wit;false;true;27057;;;2020-07-07T21:32:00;2020-07-07T12:44:29
7;Clothing Clothing web-enabled;Balanced;Alfred.Jakubowski29@hotmail.com;structure navigating;false;false;32882;;;2020-07-07T21:33:26;2020-07-07T13:37:14
8;Handmade Wooden Table;multi-byte;Sage.Bergnaum@yahoo.com;invoice 24/7;false;true;67859;;;2020-07-07T22:48:18;2020-07-07T21:40:50
9;Investor program invoice;grey Sleek Frozen Chicken digital;Sage6@yahoo.com;Focused collaboratio;false;true;21273;;;2020-07-07T10:26:12;2020-07-07T03:58:53
10;transmit quantifying synthesizing;distributed Games;Dee_Collins70@hotmail.com;1080p Intelligent co;true;false;82344;;;2020-07-07T07:08:53;2020-07-06T22:49:46
